longitude,latitude,prediction
153.028723,-27.482279,2
153.036046,-27.47059,2
153.042728,-27.474531,1
153.046986,-27.461881,1
153.016696,-27.469658,2
153.00436,-27.48172,0
153.001482,-27.493626,0
153.002459,-27.476076,0
153.011938,-27.493963,0
153.020894,-27.482197,2
153.050864,-27.465226,1
153.024662,-27.468447,2
153.025988,-27.473021,2
153.036866,-27.457825,1
153.02368,-27.48148,2
153.022094,-27.467464,2
153.017633,-27.499963,0
152.994747,-27.490776,0
153.041688,-27.458199,1
153.025477,-27.481808,2
153.04911,-27.452027,1
153.026863,-27.464628,2
153.03453,-27.456085,1
153.018506,-27.46637,2
153.006071,-27.492876,0
153.042561,-27.464681,1
153.037902,-27.461041,1
153.046802,-27.454482,1
153.031142,-27.463405,2
153.034042,-27.453717,1
153.03208,-27.458641,1
153.020323,-27.475039,2
153.011115,-27.468839,0
153.049519,-27.454394,1
153.007364,-27.468845,0
153.033841,-27.457512,1
153.031077,-27.46123,1
153.000676,-27.476003,0
153.027193,-27.472044,2
153.039196,-27.456276,1
153.023564,-27.480385,2
153.030991,-27.465043,2
153.02822,-27.469924,2
153.029828,-27.469702,2
153.029834,-27.468675,2
153.024635,-27.468422,2
153.048757,-27.473304,1
153.000599,-27.473888,0
152.996419,-27.483168,0
153.053645,-27.467802,1
152.99347,-27.485872,0
153.026946,-27.483259,2
153.027679,-27.464986,2
153.016318,-27.494561,0
153.004602,-27.470987,0
153.033445,-27.459833,1
153.0288,-27.475922,2
153.021808,-27.469075,2
153.040565,-27.452468,1
153.02257,-27.471297,2
153.0467,-27.467498,1
153.049485,-27.463678,1
153.025852,-27.47019,2
152.997215,-27.479453,0
153.037647,-27.474992,2
153.032768,-27.46048,1
153.036021,-27.461803,1
153.02802,-27.494959,2
153.050239,-27.459091,1
153.043525,-27.469931,1
153.02461,-27.468963,2
153.050013,-27.455907,1
153.016181,-27.480164,0
153.010063,-27.476724,0
153.027333,-27.497934,2
153.006181,-27.478214,0
153.035533,-27.469296,2
153.009968,-27.467971,0
153.018694,-27.474722,2
153.029597,-27.466369,2
153.0401,-27.453195,1
153.026627,-27.471315,2
153.011121,-27.480768,0
153.022603,-27.469902,2
153.037559,-27.453127,1
153.027138,-27.491284,2
153.022991,-27.471332,2
153.021076,-27.479876,2
153.045762,-27.448074,1
153.011164,-27.474227,0
153.0231,-27.467963,2
153.044925,-27.44979,1
153.034306,-27.471025,2
153.016687,-27.474755,2
153.04987,-27.460914,1
153.004129,-27.469501,0
153.002382,-27.485078,0
153.008182,-27.476474,0
153.031782,-27.461984,1
153.028383,-27.472598,2
152.999585,-27.48872,0
153.029202,-27.467556,2
153.034329,-27.465733,1
153.020012,-27.466753,2
153.01476,-27.466032,2
153.011831,-27.482562,0
153.048273,-27.468407,1
153.028296,-27.478846,2
153.051966,-27.471481,1
153.034186,-27.478032,2
153.012132,-27.479149,0
153.007281,-27.487155,0
153.014585,-27.480885,0
153.029647,-27.47148,2
153.019123,-27.478653,2
153.002405,-27.489807,0
153.013287,-27.47666,0
153.039562,-27.451793,1
153.032779,-27.45663,1
153.048107,-27.45296,1
152.990627,-27.485075,0
152.996768,-27.492489,0
152.993052,-27.487187,0
153.029361,-27.464647,2
153.026744,-27.468206,2
153.028853,-27.479004,2
153.030639,-27.472291,2
152.995804,-27.482081,0
153.015173,-27.478235,0
153.039186,-27.476792,2
153.014541,-27.474011,0
153.037775,-27.455472,1
153.036154,-27.454746,1
153.019801,-27.468678,2
153.04519,-27.471422,1
153.029125,-27.46383,2
153.041854,-27.471886,1
153.006981,-27.482082,0
153.018471,-27.467037,2
153.013188,-27.471712,0
153.024719,-27.469183,2
153.017351,-27.466307,2
153.001803,-27.472413,0
153.041031,-27.463431,1
153.026861,-27.46588,2
153.025627,-27.47011,2
153.029087,-27.462665,2
153.02682,-27.46812,2
153.019284,-27.481137,2
